,Score,Gen
140b0b27-c348-4376-bfe9-8cd144621e88,31300.0,8.0
443a1920-df39-47d6-ab6d-3a1921fec953,27338.0,8.0
61410b23-497f-4673-8a1c-db3d81189788,34345.0,9.0
c8256d52-d9f6-47c4-b16a-558ad9aa423d,27345.0,9.0
526a3a80-ae38-4423-b2b5-88abbbf2fbb7,1383.0,9.0
493dfe3a-4efb-4b87-815e-8228d72ec576,22327.0,9.0
3df0deb5-bf7d-4f8d-8ac6-a9b976d6929c,35431.0,9.0
0591ac21-eb03-4faa-8252-825a568a12a3,1282.0,9.0
23da6bf6-8c72-499c-a695-58b6ba8916fc,27354.0,9.0
61b58e37-8458-4092-b1cf-730752819a7e,35430.0,9.0
39c436ed-0bf1-4a7e-8099-631b177c3412,6404.0,9.0
db170837-7f77-4895-8e0f-8770e6460e21,32347.0,9.0
